ID;ZMED;HX;RESIDUE
0;0.696429;0.696029;0.000400684
1;0.667879;0.666067;0.00181169
2;0.698642;0.700011;-0.0013696
3;-0.695184;-0.694789;-0.000395254
4;-0.66689;-0.665081;-0.00180857
5;-0.697271;-0.698625;0.00135385
6;0.695184;0.694789;0.000395255
7;0.65189;0.650078;0.00181136
8;0.684771;0.686127;-0.0013551
9;-0.694346;-0.693954;-0.000391647
10;-0.651268;-0.649458;-0.00180932
11;-0.683882;-0.685227;0.00134487
12;0.694346;0.693954;0.000391648
13;0.636268;0.634454;0.00181407
14;0.671382;0.672729;-0.00134694
15;-0.678662;-0.678337;-0.000325031
16;-0.625419;-0.623642;-0.00177693
17;-0.655361;-0.656524;0.00116232
18;0.00800113;0.00800185;-7.20337e-07
19;0.678662;0.678337;0.000325031
20;0.609417;0.607638;0.00177981
21;0.655361;0.656524;-0.00116232
22;-0.008;-0.00800072;7.20485e-07
23;-0.660515;-0.660267;-0.000247513
24;-0.597653;-0.595915;-0.00173794
25;-0.636522;-0.637468;0.000946448
26;0.660515;0.660267;0.000247512
27;0.597653;0.595915;0.00173796
28;0.636522;0.637468;-0.000946444
29;-0.646128;-0.645942;-0.000186057
30;-0.588326;-0.586622;-0.00170477
31;-0.621586;-0.622361;0.000775305
32;0.646128;0.645942;0.000186054
33;0.588326;0.586622;0.00170478
34;0.621586;0.622361;-0.000775296
35;0.172879;0.172852;2.67471e-05
36;0.47305;0.472892;0.000158603
37;0.585673;0.583968;0.00170474
38;0.621365;0.622138;-0.000772741
39;-0.645929;-0.645744;-0.000185352
40;-0.588173;-0.586468;-0.00170418
41;-0.621365;-0.622138;0.000772748
42;-0.172725;-0.172698;-2.67001e-05
43;0.155725;0.1557;2.52678e-05
44;-0.152199;-0.152175;-2.41616e-05
45;0.0676994;0.0676951;4.25385e-06
46;-0.0675;-0.0674958;-4.2127e-06
47;-0.470074;-0.469931;-0.000142898
48;-0.580123;-0.578441;-0.00168215
49;-0.614598;-0.61529;0.000691569
50;0.0200038;0.0200171;-1.32276e-05
51;0.470074;0.469931;0.000142896
52;0.537619;0.535874;0.00174558
53;0.612598;0.61329;-0.000691354
54;-0.02;-0.0200132;1.32257e-05
55;-0.469832;-0.46969;-0.000141591
56;-0.537238;-0.535494;-0.00174379
57;-0.612033;-0.612717;0.000684638
58;0.466332;0.46619;0.000141495
59;0.537238;0.535494;0.00174381
60;0.610033;0.610717;-0.000684428
61;-0.460531;-0.460421;-0.000110056
62;-0.527933;-0.526233;-0.00170011
63;-0.596378;-0.5969;0.000522105
64;0.447031;0.446923;0.000107819
65;0.517933;0.516222;0.00171179
66;0.571378;0.571826;-0.000447646
67;0.267777;0.267746;3.10232e-05
68;0.330041;0.33098;-0.000939536
69;0.374854;0.377408;-0.00255425
70;-0.436968;-0.436914;-5.43066e-05
71;-0.497903;-0.496269;-0.00163482
72;-0.548555;-0.54874;0.000185674
73;0.165692;0.165668;2.31133e-05
74;0.166863;0.164288;0.0025745
75;0.170701;0.168329;0.00237137
76;0.085035;0.0850299;5.03918e-06
77;0.0990671;0.0991993;-0.000132178
78;0.126075;0.12685;-0.000774758
79;0.16425;0.164232;1.78364e-05
80;0.203238;0.203992;-0.000754119
81;0.175232;0.17624;-0.00100746
82;-0.259284;-0.259261;-2.32289e-05
83;-0.319805;-0.320724;0.000918907
84;-0.362807;-0.365269;0.00246157
85;0.0180007;0.0180005;1.36014e-07
86;0.0200006;0.020009;-8.40344e-06
87;0.00900017;0.00900124;-1.07835e-06
88;-1.3e-10;-2.35701e-10;1.05701e-10
89;0.0280025;0.0280124;-9.88184e-06
90;-9e-11;3.20415e-09;-3.29415e-09
91;-0.0420007;-0.0419998;-8.55136e-07
92;-0.0640031;-0.0640375;3.44161e-05
93;-0.0300002;-0.0300188;1.8684e-05
94;-0.014;-0.0140025;2.47151e-06
95;-0.018;-0.0179999;-1.35108e-07
96;-0.02;-0.0200084;8.40341e-06
97;-0.009;-0.00900108;1.0758e-06
98;-0.16423;-0.164212;-1.77478e-05
99;-0.203216;-0.20397;0.000753949
100;-0.175212;-0.176219;0.00100705
101;0.15973;0.159712;1.77027e-05
102;0.203216;0.20397;-0.000753931
103;0.175212;0.176219;-0.00100702
104;-0.159638;-0.15962;-1.7279e-05
105;-0.203108;-0.203861;0.000753107
106;-0.175114;-0.176119;0.00100504
107;0.0201376;0.0201378;-2.10525e-07
108;0.0556084;0.0556277;-1.9324e-05
109;0.0301143;0.0301203;-6.03692e-06
110;-0.0200184;-0.0200183;-1.31227e-07
111;-0.0555137;-0.0555333;1.95444e-05
112;-0.0300148;-0.030022;7.16481e-06
113;0.0200184;0.0200183;1.30925e-07
114;0.0315137;0.0315209;-7.12721e-06
115;0.0200148;0.0200188;-4.03416e-06
116;-0.02;-0.0199998;-1.79592e-07
117;-0.0315;-0.0315072;7.15635e-06
118;-0.02;-0.0200042;4.20572e-06
119;-0.646121;-0.645935;-0.00018603
120;-0.588322;-0.586617;-0.00170478
121;-0.621579;-0.622354;0.000775207
122;0.646121;0.645935;0.000186029
123;0.588322;0.586617;0.0017048
124;0.621579;0.622354;-0.000775198
125;-0.436971;-0.436916;-5.43265e-05
126;-0.497907;-0.496272;-0.00163478
127;-0.54856;-0.548746;0.000185884
128;0.436971;0.436916;5.43225e-05
129;0.497907;0.496272;0.00163481
130;0.54856;0.548746;-0.000185812
131;-0.446891;-0.446784;-0.000107075
132;-0.517706;-0.515996;-0.0017107
133;-0.571061;-0.571505;0.000444005
134;0.00200031;0.00200048;-1.72453e-07
135;0.446891;0.446784;0.000107072
136;0.513706;0.511995;0.00171139
137;0.571061;0.571505;-0.000443976
138;-0.002;-0.00200017;1.7258e-07
139;-0.267314;-0.267286;-2.77017e-05
140;-0.329227;-0.330161;0.000934053
141;-0.37366;-0.376182;0.00252286
142;0.001;0.000999999;5.00846e-09
143;0.259814;0.259787;2.70617e-05
144;0.320727;0.321652;-0.000925247
145;0.36416;0.366657;-0.00249734
146;-0.0850113;-0.0850064;-4.89802e-06
147;-0.099024;-0.099156;0.000132031
148;-0.126004;-0.126777;0.000773237
149;0.0420113;0.0420105;8.72572e-07
150;0.064024;0.0640584;-3.44247e-05
151;0.0300042;0.030023;-1.87551e-05
152;-0;1.00812e-10;-1.00812e-10
153;-0.028002;-0.0280119;9.88188e-06
154;-0;-3.2926e-09;3.2926e-09
155;0.014002;0.0140045;-2.47084e-06
156;-0.001;-0.000999995;-5.00773e-09
157;0.162182;0.162166;1.61273e-05
158;0.162876;0.160381;0.00249506
159;0.166116;0.163853;0.00226347
160;-0.162182;-0.162166;-1.61307e-05
161;-0.162876;-0.160381;-0.002495
162;-0.166116;-0.163853;-0.00226323
163;-0.15;-0.15003;3.02048e-05
164;-0.15;-0.151456;0.00145596
165;-0.15;-0.159848;0.0098477
166;0.646128;0.645942;0.000186052
167;0.588326;0.586622;0.0017048
168;0.621586;0.622361;-0.000775286
169;-0.646128;-0.645942;-0.000186054
170;-0.588326;-0.586622;-0.00170478
171;-0.621586;-0.622361;0.000775296
172;0.436971;0.436916;5.43189e-05
173;0.497907;0.496272;0.00163484
174;0.54856;0.548746;-0.000185735
175;-0.436971;-0.436916;-5.43225e-05
176;-0.497907;-0.496272;-0.00163481
177;-0.54856;-0.548746;0.000185812
178;0.13867;0.138621;4.88726e-05
179;0.148102;0.147952;0.000150155
180;0.19637;0.194705;0.00166562
181;-0.137753;-0.137706;-4.7497e-05
182;-0.147317;-0.147174;-0.000142505
183;-0.195384;-0.193703;-0.00168046
184;0.137753;0.137706;4.7499e-05
185;0.139817;0.139673;0.000143648
186;0.188384;0.186697;0.00168684
187;-0.13713;-0.137084;-4.65641e-05
188;-0.139316;-0.139178;-0.000138656
189;-0.187755;-0.186058;-0.00169642
190;0.13713;0.137084;4.65672e-05
191;0.131816;0.131676;0.000140619
192;0.180755;0.179047;0.00170749
193;-0.125379;-0.12535;-2.88848e-05
194;-0.122956;-0.122906;-5.01452e-05
195;-0.169625;-0.167745;-0.00187927
196;0.00400058;0.00400084;-2.60317e-07
197;0.125379;0.12535;2.88894e-05
198;0.114955;0.114904;5.11864e-05
199;0.169625;0.167745;0.00187935
200;-0.004;-0.00400026;2.60397e-07
201;-0.111479;-0.11147;-8.22323e-06
202;-0.10536;-0.105411;5.11358e-05
203;-0.156696;-0.154618;-0.00207855
204;0.111479;0.11147;8.22844e-06
205;0.10536;0.105411;-5.11228e-05
206;0.156696;0.154618;0.00207867
207;-0.100458;-0.100467;8.1567e-06
208;-0.0977529;-0.0978852;0.000132244
209;-0.146447;-0.14421;-0.0022366
210;0.100458;0.100466;-8.15186e-06
211;0.0977529;0.0978852;-0.000132234
212;0.146447;0.14421;0.00223677
213;0.0890581;0.0890719;-1.3869e-05
214;0.00892305;0.00891912;3.9348e-06
215;0.0946192;0.0947646;-0.000145409
216;0.143848;0.141581;0.0022673
217;-0.0979811;-0.0979911;9.9376e-06
218;-0.0956192;-0.0957645;0.000145355
