IDNODE;FASE;REAL;IMAG
0;0;1.05;0
0;1;-0.525;-0.909327
0;2;-0.525;0.909327
1;0;1.0479;-0.000937506
1;1;-0.524862;-0.90737
1;2;-0.523182;0.907918
2;0;1.04648;-0.00157683
2;1;-0.524789;-0.906101
2;2;-0.52199;0.906989
3;0;1.01994;-0.0136868
3;1;-0.523779;-0.883256
3;2;-0.5003;0.889982
4;0;1.05;0
4;1;-0.523707;-0.883128
4;2;-0.525;0.909327
5;0;0.989147;-0.0281358
5;1;-0.522831;-0.857788
5;2;-0.47502;0.869895
6;0;0.964733;-0.039591
6;1;-0.52208;-0.837597
6;2;-0.454977;0.85397
7;0;1.036;-0.0463699
7;1;-0.54092;-0.861142
7;2;-0.465419;0.881479
8;0;1.03507;-0.0463396
8;1;-0.541406;-0.937743
8;2;-0.541406;0.937743
9;0;1.01142;-0.0455382
9;1;-0.541406;-0.937743
9;2;-0.541406;0.937743
10;0;1.00842;-0.0454315
10;1;-0.541406;-0.937743
10;2;-0.541406;0.937743
11;0;1.02914;-0.0489148
11;1;-0.53763;-0.851277
11;2;-0.456791;0.873758
12;0;1.12875;0
12;1;-0.53753;-0.851109
12;2;-0.541406;0.937743
13;0;1.02858;-0.0491481
13;1;-0.537393;-0.850545
13;2;-0.456081;0.873105
14;0;1.01507;-0.054786
14;1;-0.531604;-0.832699
14;2;-0.438833;0.857336
15;0;1.0715;-0.0728592
15;1;-0.559888;-0.854056
15;2;-0.436086;0.893362
16;0;1.06855;-0.076132
16;1;-0.559319;-0.848302
16;2;-0.429609;0.889198
17;0;1.06805;-0.0759909
17;1;-0.558882;-0.847685
17;2;-0.42931;0.888595
18;0;1.22046;0
18;1;-0.558809;-0.847517
18;2;-0.582012;1.00807
19;0;1.06801;-0.0759813
19;1;-0.558866;-0.847656
19;2;-0.42931;0.888581
20;0;1.06851;-0.0762241
20;1;-0.559356;-0.848201
20;2;-0.4295;0.889192
21;0;1.06833;-0.0766678
21;1;-0.559532;-0.847713
21;2;-0.428971;0.889165
22;0;1.06857;-0.0775332
22;1;-0.560174;-0.847264
22;2;-0.428284;0.889738
23;0;1.06861;-0.0776663
23;1;-0.560282;-0.847225
23;2;-0.428191;0.889825
24;0;1.03634;-0.046279
24;1;-0.540992;-0.86142
24;2;-0.465655;0.881734
25;0;0.9911;-0.065122
25;1;-0.521778;-0.800881
25;2;-0.408557;0.830116
26;0;1.01474;-0.0549285
26;1;-0.531465;-0.832251
26;2;-0.438411;0.856959
27;0;1.12875;0
27;1;-0.531386;-0.83212
27;2;-0.541406;0.937743
28;0;1.07012;-0.0743505
28;1;-0.559601;-0.851393
28;2;-0.433102;0.891414
29;0;1.06828;-0.0760723
29;1;-0.559046;-0.847997
29;2;-0.429354;0.888711
30;0;1.06804;-0.0759855
30;1;-0.558874;-0.847668
30;2;-0.429311;0.8886
31;0;1.07012;-0.0743503
31;1;-0.578628;-1.00221
31;2;-0.582012;1.00807
32;0;1.03134;-0.0985347
32;1;-0.560474;-0.803694
32;2;-0.393086;0.873018
33;0;0.945128;-0.097198
33;1;-0.551083;-0.710502
33;2;-0.420549;0.854107
34;0;1.03635;-0.0462761
34;1;-0.540995;-0.861429
34;2;-0.465662;0.881742
35;0;1.07151;-0.0728566
35;1;-0.55989;-0.854064
35;2;-0.436093;0.893369
IDNODE;FASE;REAL;IMAG
0;0;1.04976;0
0;1;-0.525062;-0.909434
0;2;-0.522738;0.905409
1;0;1.0477;-0.000969624
1;1;-0.524918;-0.907507
1;2;-0.520845;0.903837
2;0;1.04631;-0.00163046
2;1;-0.524841;-0.906258
2;2;-0.519603;0.902799
3;0;1.02026;-0.0141406
3;1;-0.52376;-0.883784
3;2;-0.496986;0.883761
4;0;1.05;0
4;1;-0.523688;-0.883655
4;2;-0.525;0.909327
5;0;0.99004;-0.0290552
5;1;-0.522728;-0.858746
5;2;-0.470626;0.861313
6;0;0.966079;-0.0408795
6;1;-0.521911;-0.838896
6;2;-0.449727;0.843515
7;0;1.03746;-0.0477444
7;1;-0.540774;-0.862514
7;2;-0.459775;0.870594
8;0;1.03653;-0.0477129
8;1;-0.541406;-0.937743
8;2;-0.541406;0.937743
9;0;1.01292;-0.04688
9;1;-0.541406;-0.937743
9;2;-0.541406;0.937743
10;0;1.00992;-0.0467695
10;1;-0.541406;-0.937743
10;2;-0.541406;0.937743
11;0;1.03077;-0.0504382
11;1;-0.537472;-0.852756
11;2;-0.450912;0.862031
12;0;1.12875;0
12;1;-0.537372;-0.852588
12;2;-0.541406;0.937743
13;0;1.03022;-0.0506838
13;1;-0.537233;-0.852033
13;2;-0.450182;0.861309
14;0;1.01707;-0.0566196
14;1;-0.531416;-0.834402
14;2;-0.432463;0.843858
15;0;1.07434;-0.0754139
15;1;-0.559666;-0.856317
15;2;-0.428134;0.875545
16;0;1.07146;-0.0787282
16;1;-0.559073;-0.850592
16;2;-0.421524;0.87113
17;0;1.07096;-0.0785875
17;1;-0.558633;-0.849976
17;2;-0.421212;0.870512
18;0;1.22046;0
18;1;-0.55856;-0.849808
18;2;-0.582012;1.00807
19;0;1.07092;-0.0785779
19;1;-0.558617;-0.849946
19;2;-0.421211;0.870497
20;0;1.07142;-0.0788214
20;1;-0.55911;-0.850492
20;2;-0.421414;0.87112
21;0;1.07124;-0.0792698
21;1;-0.559285;-0.850007
21;2;-0.42088;0.871074
22;0;1.07148;-0.080147
22;1;-0.559929;-0.849566
22;2;-0.420201;0.87162
23;0;1.07152;-0.0802818
23;1;-0.560037;-0.849529
23;2;-0.420109;0.871704
24;0;1.03779;-0.0476492
24;1;-0.540847;-0.862789
24;2;-0.460018;0.870874
25;0;0.993719;-0.0674952
25;1;-0.521546;-0.802973
25;2;-0.40135;0.813609
26;0;1.01674;-0.0567696
26;1;-0.531277;-0.83396
26;2;-0.43203;0.843438
27;0;1.12875;0
27;1;-0.531197;-0.833829
27;2;-0.541406;0.937743
28;0;1.07299;-0.0769242
28;1;-0.559368;-0.853668
28;2;-0.425089;0.873481
29;0;1.07119;-0.078669
29;1;-0.558797;-0.850287
29;2;-0.421259;0.870631
30;0;1.07095;-0.0785822
30;1;-0.558625;-0.849958
30;2;-0.421213;0.870517
31;0;1.07299;-0.076924
31;1;-0.578628;-1.00221
31;2;-0.582012;1.00807
32;0;1.03436;-0.100755
32;1;-0.561436;-0.806356
32;2;-0.381005;0.850205
33;0;0.950941;-0.102597
33;1;-0.554968;-0.712856
33;2;-0.408349;0.831533
34;0;1.0378;-0.0476462
34;1;-0.540849;-0.862798
34;2;-0.460025;0.870883
35;0;1.07434;-0.0754112
35;1;-0.559669;-0.856325
35;2;-0.428142;0.875552
IDNODE;FASE;REAL;IMAG
0;0;1.04976;0
0;1;-0.525062;-0.909434
0;2;-0.522738;0.905409
1;0;1.0477;-0.000969624
1;1;-0.524918;-0.907507
1;2;-0.520845;0.903837
2;0;1.04631;-0.00163046
2;1;-0.524841;-0.906258
2;2;-0.519603;0.902799
3;0;1.02026;-0.0141406
3;1;-0.52376;-0.883784
3;2;-0.496986;0.883761
4;0;1.05;0
4;1;-0.523688;-0.883655
4;2;-0.525;0.909327
5;0;0.99004;-0.0290552
5;1;-0.522728;-0.858746
5;2;-0.470626;0.861313
6;0;0.966079;-0.0408795
6;1;-0.521911;-0.838896
6;2;-0.449727;0.843515
7;0;1.03746;-0.0477444
7;1;-0.540774;-0.862514
7;2;-0.459775;0.870594
8;0;1.03653;-0.0477129
8;1;-0.541406;-0.937743
8;2;-0.541406;0.937743
9;0;1.01292;-0.04688
9;1;-0.541406;-0.937743
9;2;-0.541406;0.937743
10;0;1.00992;-0.0467695
10;1;-0.541406;-0.937743
10;2;-0.541406;0.937743
11;0;1.03077;-0.0504382
11;1;-0.537472;-0.852756
11;2;-0.450912;0.862031
12;0;1.12875;0
12;1;-0.537372;-0.852588
12;2;-0.541406;0.937743
13;0;1.03022;-0.0506838
13;1;-0.537233;-0.852033
13;2;-0.450182;0.861309
14;0;1.01707;-0.0566196
14;1;-0.531416;-0.834402
14;2;-0.432463;0.843858
15;0;1.07434;-0.0754139
15;1;-0.559666;-0.856317
15;2;-0.428134;0.875545
16;0;1.07146;-0.0787282
16;1;-0.559073;-0.850592
16;2;-0.421524;0.87113
17;0;1.07096;-0.0785875
17;1;-0.558633;-0.849976
17;2;-0.421212;0.870512
18;0;1.22046;0
18;1;-0.55856;-0.849808
18;2;-0.582012;1.00807
19;0;1.07092;-0.0785779
19;1;-0.558617;-0.849946
19;2;-0.421211;0.870497
20;0;1.07142;-0.0788214
20;1;-0.55911;-0.850492
20;2;-0.421414;0.87112
21;0;1.07124;-0.0792698
21;1;-0.559285;-0.850007
21;2;-0.42088;0.871074
22;0;1.07148;-0.080147
22;1;-0.559929;-0.849566
22;2;-0.420201;0.87162
23;0;1.07152;-0.0802818
23;1;-0.560037;-0.849529
